################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: dice12
#     Report Created on: Sat Dec 21 22:49:50 2024
#     Working Directory: /mnt/home/dice12/dice/proj3/spy/pj3
#     Report Location  : ./pj3/TOP/lint/lint_functional_rtl/spyglass_reports/auto-verify/Uninitialized_Sequential_Elements.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-3
#     Policy Name      : auto-verify(SpyGlass_vQ-2020.03-SP2-03)
#     Comment          : CSV File for Uninitialised Sequential Elements
#
################################################################################
#CrossProbeTag:AV_INITSTATE01_SS_SCH
#RuleName:Av_initstate01
ID,NAME,MODULE,ASYNC RESET,ASYNC SET,CLOCK,ENABLE,DATA,OTHERS,CLOCK NAME,RESET NAME
111,TOP.ST1.W_IN_P16[15:0],stair_array,X,-,-,X,X,no,TOP.CLK,NULL
112,TOP.ST1.W_IN_P15[15:0],stair_array,X,-,-,X,X,no,TOP.CLK,NULL
113,TOP.ST1.W_IN_P14[15:0],stair_array,X,-,-,X,X,no,TOP.CLK,NULL
114,TOP.ST1.W_IN_P13[15:0],stair_array,X,-,-,X,X,no,TOP.CLK,NULL
115,TOP.ST1.W_IN_P12[15:0],stair_array,X,-,-,-,X,no,TOP.CLK,NULL
116,TOP.ST1.P18.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
117,TOP.ST1.P17.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
118,TOP.ST1.P16.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
119,TOP.ST1.P15.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
120,TOP.ST1.P14.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
121,TOP.ST1.P13.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
122,TOP.ST1.P28.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
123,TOP.ST1.P27.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
124,TOP.ST1.P26.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
125,TOP.ST1.P25.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
126,TOP.ST1.P24.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
127,TOP.ST1.P38.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
128,TOP.ST1.P37.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
129,TOP.ST1.P36.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
130,TOP.ST1.P35.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
131,TOP.ST1.P48.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
